unstructured_name,rx_norm,type
tab ondansterone 12hrly x 1/52,ondansetron,Drug
im CQ 5ml +0.5ml strt then wt bco 6hrly*3doses,chloroquine,Drug
Syrup Broncholyte 10mls tds - 1/52;,bromhexine hydrochloride,Drug
tabs celebrex 200mg bd for 2weeks,celecoxib,Drug
salbutamol 2.5mg + ipatropium bromide 125mcg,albuterol / ipratropium bromide,Drug
tab Ocefix 200mg bd x5/7,cefixime,Drug
TABS FINASTERIDE 5MG DLY X 1/12,finasteride,Drug
ISORSOBIDE  DINITRATE 5MG BD X 3DAYS,isosorbide dinitrate,Drug
tabs mebedazol 200mg stat,mebendazole,Drug
ferrous sulphate tabs,ferrous sulfate,Drug
SUSP GASCOL 10 MLS BD 3/7;,aluminum hydroxide / magnesium carbonate,Drug
SC Clexane 40mg 12hrly,enoxaparin,Drug
iv rabeprazole 20mg bd,rabeprazole,Drug
ice blocks sips,water,Drug
tab vasopril 75mg daily X2/52,acetylsalicylsalicylic acid,Drug
im arthemeter 120mfg +plasil 5mg] x 3days,"artemether, metoclopramide",Drug
IV OXYTOCIN X 4 AMPOULES,oxytocin,Drug
Tabs Tramadol 50mg TDS x 4/7,tramadol,Drug
Tocovid CR059,vitamin E,Drug
diamox 500mg tds 2/52,acetazolamide,Drug
ROSEDEN,piroxicam,Drug
iv cefuroxime 400mg 12hrly,cefuroxime sodium,Drug
norvagine,acetaminophen / caffeine,Drug
Supp Annusol 1 nocte x 1/52,zinc sulfate monohydrate,Drug
tab doanil 10mg bd x 2/52,Glibenclamide,Drug
tab vit e 1000iu daily x 2/52,vitamin E,Drug
intralessional steroid,triamcinolone,Drug
Tab Torsemide 10mg daily,torsemide,Drug
enterogemina  1 b.d x 5/7,Bacillus coagulans,Drug
24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet,canagliflozin / metformin hydrochloride,Drug
ORAL VITAMIN A VACCINE,vitamin A,Drug
susp haemoforce 10mls bd x 1/52,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
Moxitrol,dexamethasone / neomycin / polymyxin b,Drug
sheriproct suppository 1 noctre x1/52,prednisone,Drug
IM ARTHEMETER + DICLOFENAC25MG +PLASIL 5MG,"artemether, metoclopramide",Drug
SYRUP GASCOL 10MLS BD X 2/52,aluminum hydroxide / magnesium carbonate,Drug
COUGH SYRUP 5MLS TDS X 5DAYS,guaifenesin / pseudoephedrine hydrochloride,Drug
IV Ringers lactate alt with 5% DS 1L 8hourly,calcium chloride / glucose / potassium chloride / sodium chloride / sodium lactate,Drug
TAB HYOSCINE 10MG BD 5/7,hyoscyamine sulfate,Drug
SYRUP BUSCOPAN 2.5MLS TDS X 1/52,hyoscyamine sulfate,Drug
syrup cefixime-clav 2.5mls bd x 5/7,"cefixime, clavulanic acid",Drug
then iv ringers lactate alt with 4.3% dextrose 500mls 12 hourly;,calcium chloride / glucose / potassium chloride / sodium chloride / sodium lactate,Drug
GTT PILOCARPINE TDS RE,pilocarpine,Drug
Tabs.Cognitol,vinpocetine,Drug
IM PCM 150MG +PLASIL 5MG STAT//,"artemether, metoclopramide",Drug
Camosunate II bd - 3/7,"Artesunate, Amodiaquine",Drug
add 20mmol of 8.4% NaHco3 in each pint of fluid,sodium bicarbonate,Drug
TOTHEMA INJ284,ferrous gluconate /  manganese gluconate /  copper gluconate,Drug
tab metformin 500mg tds x 1/12,metformin hydrochloride,Drug
Amodiaquine 300mg bd x3days.,amodiaquine hydrochloride,Drug
vitamin A propionate,vitamin A,Drug
IV zinnat 125mg 8hourly,cefuroxime sodium,Drug
tabs clarithromycin 500mg bd x2weeks,clarithromycin,Drug
FLUCONAZOLE 150MGDLY X5/7,fluconazole,Drug
1 litre of Full Strenght Darrow's fluid,potassium chloride / sodium chloride,Drug
TAB EXFORGE 10/160MG DLY  X1/12,amlodipine / valsartan,Drug
TAB CYMORAL  2TDSX5/7,chymotrypsin,Drug
Antallerge eye drop 2drops into each eye bd x 5/7;,tetrahydrozoline hydrochloride,Drug
TABS GLUCOPHAGE 500MG TDS  TILL REVIEW,metformin hydrochloride,Drug
Tab arthrotec 75mg bd x 5/7   Neurogesic cream PRN,diclofenac sodium / misoprostol,Drug
Tab cocodamol 1000/16 tds x 3/7,acetaminophen / codeine phosphate,Drug
tabs labetalol 200mg daily x 1/12,labetalol,Drug
IV LABETALOL 50MG STAT,labetalol,Drug
5.5mmol sodium bicarbonate,sodium bicarbonate,Drug
TAB PREGABALIN 75MG NOCTE X 2/52,pregabalin,Drug
tab chlarythromycin 500mg b.d x 2/52,clarithromycin,Drug
Tabs Chymoral 1 daily *5/7,chymotrypsin,Drug
lubriclam tears,glycerin / hypromellose / polyethylene glycol,Drug
im arthemeter 160mg +plasi10mg,"artemether, metoclopramide",Drug
"tab glimeprimide 4mg daily, tab metformin 1g b.d, tab clopidogrel 75mg daily, tab amilodipine 10mg daily, tab lisinopril 10mg daily",glimepiride,Drug
Humulin R (insulin),insulin  human,Drug
tabs Arthrotec 75mg dly x 1/52,diclofenac sodium / misoprostol,Drug
Prostinor 2,levonorgestrel,Drug
syr cofex 2mls bd for 1/52,dextromethorphan hydrobromide / guaifenesin,Drug
syrup chemiron 20ml bd for 2wks,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
IM Pentazocine 60mg + IM promethazine 25mg statt,"pentazocine, promethazine",Drug
iv tandark 700mg bd.........72hrs stat,"ceftriaxone, sulbactam",Drug
timolol bd LE,timolol,Drug
"Ivf n/s 1L OVER 1HR , THEN 1L 8HRLY alt. with full strength darrows 500mls 8hrly for 24 hrs",potassium chloride / sodium chloride,Drug
MIXTARD FLEX PEN 30,insulin isophane / human / insulin,Drug
IV cefuroxime 500mg 12hrly,cefuroxime sodium,Drug
dalacin c,clindamycin,Drug
IV Buscopan 20mg 12hrly x 48hrs,hyoscyamine sulfate,Drug
tab arthrotec 75 mg bd 4/7;,diclofenac sodium / misoprostol,Drug
clotrmazole cream,clotrimazole,Drug
Tabs Valsartan 80mg dly x 1/12,valsartan,Drug
sc novomix 28IU 15minutes pre meal BD,insulin aspart protamine  human  insulin aspart  human,Drug
TABS SEPTRIN 960 BD X 1/52,sulfamethoxazole / trimethoprim,Drug
Gabapentin tab,gabapentin,Drug
stemetil 2tabs nocte  x 5days,prochlorperazine,Drug
tabs tindazole 1g stat. then 500mg bd x 3/7,tinidazole,Drug
chlorampheni onit,chloramphenicol,Drug
tab ferrous i dly x 2/52,ferrous sulfate,Drug
"Tab Antalgex T 2 BD 10AM, 10PM  Tab Diclofenac 50mg bd with meals 8am, 7pm  Liquid Paraffin 15mls bd * 1/52",acetaminophen / tramadol hydrochloride,Drug
syp camosunate,"Artesunate, Amodiaquine",Drug
klovinal suppository i nocte x 5/7,clotrimazole / metronidazole / Lactobacillus Spores,Drug
COUGH SYRUP 15MLS TDS X5DAYS,guaifenesin / pseudoephedrine hydrochloride,Drug
TABS DIAMOX 250 MG TDS X 3/7,acetazolamide,Drug
tab glucophage 1g bd x 5/7,metformin hydrochloride,Drug
Biocoten cream,clotrimazole /  gentamicin / dexamethasone,Drug
Gutt Homatropine tds Le x 1/52 then discontinue,homatropine,Drug
tab  moduretic,amiloride hydrochloride / hydrochlorothiazide,Drug
tabs ondasetron  8mg stat,ondansetron,Drug
collomac solution,lactic acid / salicylic acid,Drug
tab cinarizine 10 mg dly 5/7,cinnarizine,Drug
IM PCM 300MG +ARTHEMETER120MG +PLASIL 10MG,"acetaminophen, artemether, metoclopramide",Drug
tab methocarbamol 1g tds x 3/7,methocarbamol,Drug
tab glucophage 500mg bd for 4/7 then 500mg dly for 5days,metformin hydrochloride,Drug
1.315 ML paliperidone palmitate 312 MG/ML Prefilled Syringe,paliperidone palmitate,Drug
Azithromycin 250mg,azithromycin,Drug
tabs Digoxin 0.125Ug dly x 1/52,digoxin,Drug
tab fluconazole 100mg dly x 7/7,fluconazole,Drug
SYR.COFLIN,chlorpheniramine maleate / guaifenesin / phenylephrine hydrochloride,Drug
Tab metformin 500mg bd x 7/7,metformin hydrochloride,Drug
Suspension gascol 15mls tds for 4/52,aluminum hydroxide / magnesium carbonate,Drug
ANTI-TETANUS SERUM,"tetanus immune globulin, human",Drug
livolyn,ascorbic acid / biotin / folic acid / niacinamide / pantothenic acid / pyridoxine hydrochloride / riboflavin / thiamine / vitamin b12,Drug
IV INJ CIMETIDIN 400MG STAT,cimetidine,Drug
"cap loperamide 4mg stat, then 2mg per loose stool x2doses",loperamide,Drug
"tab loperamide 4mg stat,then 2mg per loose stool x 3/7",loperamide,Drug
caps Azithromycin 500mg daily x 5/7,azithromycin,Drug
Tabs Moduretic I daily - 1/12,amiloride hydrochloride / hydrochlorothiazide,Drug
"Then IV soluble insulin 6iu hrly, check RBG before every insulin dose","insulin, regular, human",Drug
TABS DAONIL 5MG DLY X 3/52,Glibenclamide,Drug
"She is on antidiabetic drug Galvusmet,","Metformin, Vildagliptin",Drug
telmisartan 20 MG Oral Tablet,telmisartan,Drug
tab tramadol 50mg bd x1/52,tramadol,Drug
Sulphur cream,sulfur,Drug
20% mannitol 250mls 8hrly,mannitol,Drug
I-6 CAMUSUNATE 1+1,"Artesunate, Amodiaquine",Drug
clindamycin 10 MG/ML Topical Lotion,clindamycin,Drug
Ketamine 0.5cc  + aqua 0.5cc + Diazepam 5g,ketamine,Drug
TAB Aspirin 325 mg daily,acetylsalicylsalicylic acid,Drug
clovinal vaginal pessary,clotrimazole / metronidazole / Lactobacillus Spores,Drug
TAB METFORMIN 500MG TDSX2/52,metformin hydrochloride,Drug
Tab Slow K 300mg b.d x 1/52,potassium chloride,Drug
COFEX SYRUP 5 MLS TDS 5/7: SYR AMOXYL 5 MLS TDS 5/7: SYR VIT C 5 MLS TDS 5/7,dextromethorphan hydrobromide / guaifenesin,Drug
Tramadol 50mg nocte for 2 weeks,tramadol,Drug
tab aldomet 500mg tds x 1 week,methyldopa,Drug
Tab Daonil 5mg daily for 1/12,Glibenclamide,Drug
ophensic 2 tabs tds x5days,"orphenadrine citrate, acetaminophen",Drug
50mls of 50% dextrose in 900mls of ringer's lactate,calcium chloride / glucose / potassium chloride / sodium chloride / sodium lactate,Drug
luprodex,leuprolide,Drug
Tab Exforge 10/160/25 X1/12,amlodipine / hydrochlorothiazide / valsartan,Drug
SYRUP BENYLIN 5MLS TDS X 5/7,guaifenesin / pseudoephedrine hydrochloride,Drug
Anusol cream CR042,zinc sulfate monohydrate,Drug
IV ondansetron 8mg 8hourly,ondansetron,Drug
Tab Vit E I dly x1/52,vitamin E,Drug
Valgus Metfromin 50/1000mg,"Metformin, Vildagliptin",Drug
tab doxycycline 100mg b.d x 5/7,doxycycline,Drug
SYR.BENYLIN,guaifenesin / pseudoephedrine hydrochloride,Drug
PO Mefenamic acid I bd x 5/7,mefenamic acid,Drug
tabs telmisartan 1 dly x 1/52,telmisartan,Drug
3 ML amiodarone hydrochloride 50 MG/ML Injection,amiodarone hydrochloride,Drug
cap tramadol 50mg b.d x 1/52,tramadol,Drug
2. tab vitamin D 1 DAILY,vitamin D,Drug
bacitracin 0.5 UNT/MG Topical Ointment,bacitracin,Drug
infiltrate xlocaine,lidocaine,Drug
tab norflex 1 nocte *3/7,orphenadrine citrate,Drug
SYR CEFEXIME / CEFPODOXIME 6 MLS BD 1/52,cefixime,Drug
DAILY WOUND DRESSING WITH DERMAZINE CREAM,silver sulfadiazine,Drug
Parentrovite 1&2,ascorbic acid / biotin / cholecalciferol / folic acid / niacin / pantothenic acid / pyridoxine / riboflavin / thiamine / vitamin b12,Drug
Natrilix 1.5mg daily,indapamide,Drug
throat lozenges tds x3/7,benzocaine / menthol / lozenge,Drug
Susp Lactulose 10mls tds x 3/7,lactulose,Drug
chloramphenicol eye drop i tds x 1/52,chloramphenicol,Drug
IVF R/L 500mls alternate with 5% D/S 8hrly,calcium chloride / glucose / potassium chloride / sodium chloride / sodium lactate,Drug
dorbazin,methocarbamol,Drug
tab throat lozegens 1 b.d x 3/7,benzocaine / menthol / lozenge,Drug
FOR TT2  INJ TODAY,diphtheria toxoid vaccine / tetanus toxoid vaccine,Drug
TAB ERYTHROMYCIN 500MG 8HRLY X 5/7,erythromycin,Drug
klovinal pessaries 1 nocte x 5/7,clotrimazole / metronidazole / Lactobacillus Spores,Drug
QUADRICLEAR CREAM,betamethasone /  gentamicin /  tolnaftate,Drug
Daily Dressing with honey,honey preparation,Drug
cirowax ear drops 2 drops tds x 5/7,benzocain /chlorbutol / turpentine,Drug
"water for injection x 1, 5mls syringe x 1",water,Drug
inj vit k 50mg stat,vitamin K,Drug
TAB PRIMOLUT N 10MG BD X 5/7,norethindrone,Drug
topical zetgel bd*1/52,"diclofenac, menthol / methyl salicylate, linseed oil",Drug
Tabs duphaston I bd - 1/52,progesterone,Drug
"cough syrup 10mls tds x 5/7, tab loratadine 10mg bd x 5/7",guaifenesin / pseudoephedrine hydrochloride,Drug
IM HYOSEINE,hyoscyamine sulfate,Drug
commence oxygen via nasal prongs at 1-2L/MINUTE,oxygen,Drug
Tabs Celebrex 100mg BD x 4/7,celecoxib,Drug
susp septrin 3.5mls b.d x5/7,sulfamethoxazole / trimethoprim,Drug
syrup gascol 10mls t.d.s x 2/52,aluminum hydroxide / magnesium carbonate,Drug
butenafine hydrochloride 10 MG/ML Topical Cream,butenafine hydrochloride,Drug
Topical Antifungal+ Antibacterial + Hydrocortisone + Zinc cream,clotrimazole,Drug
Gtt Olopatanol,olopatadine,Drug
BETHAMETASONE/SKINEAL CREAM APPLIED BD 1/52,betamethasone,Drug
antibiotic cream,betamethasone /  clotrimazole /  neomycin,Drug
Iv midazolam infusion at 0.009mg/hr dilute in 20mls of N/S and infuse over 24hrs.,midazolam,Drug
NYSTATIN ORAL SUSPENSION 1ML [ 100000UNITS ] QDS AFTER FOOD X 2/52,nystatin,Drug
tabs nitrofurantoin 1 bd x10days.,nitrofurantoin,Drug
tab indapamide 4mg  dly x 1/52,indapamide,Drug
Tab propanolol 40mg stat.,propranolol,Drug
continue tabs DF118,dihydrocodeine,Drug
chloramphenicol ointment tds,chloramphenicol,Drug
"Oral vit a 200,000 IU X 3/7;",vitamin A,Drug
TABS CLARITHYROMYCIN 250MG BD X1/52,clarithromycin,Drug
alternat day wound dressing with iodine gauze,povidone-iodine,Drug
syr cofex 2.5mls bd for 1/52,dextromethorphan hydrobromide / guaifenesin,Drug
tabs ranitidine 200mg dly........2/52,ranitidine,Drug
